Packet #,Device ID,TX Timestamp,RX Timestamp,RTT Latency [ms],Data Rate [Kbps],Response,Latest IPC Msg
1,901564800FA8,50:02.7,50:02.8,55.428,12.26816771,YES,0x93 0x01 0x41 0x9F 0x17 0x00 0x00 0x00
1,901564800FA8,50:02.7,50:02.8,106.126,6.407477904,YES,0x93 0x01 0x12 0x00 0x19 0x00 0x00 0x00
1,901564800FA8,50:02.7,50:02.9,157.031,4.330355153,YES,0x93 0x01 0x21 0x9C 0x1C 0x00 0x00 0x00
1,901564800FA8,50:02.7,50:02.9,207.325,3.279874593,YES,0x93 0x01 0x22 0x00 0x1D 0x00 0x00 0x00
1,901564800FA8,50:02.7,50:03.0,265.471,2.561485059,YES,0x93 0x01 0x13 0xB3 0x22 0x00 0x00 0x00
1,901564800FA8,50:02.7,50:03.0,309.43,2.197589115,YES,0x93 0x01 0x31 0x9D 0x19 0x00 0x00 0x00
2,901564800FA8,50:07.7,50:07.7,17.826,38.14652754,YES,0x93 0x02 0x41 0x9B 0x17 0x01 0x00 0x00
2,901564800FA8,50:07.7,50:07.8,68.431,9.937016849,YES,0x93 0x02 0x21 0x9F 0x1C 0x05 0x00 0x00
2,901564800FA8,50:07.7,50:07.8,119.199,5.704745845,YES,0x93 0x02 0x13 0xB0 0x22 0x07 0x00 0x00
2,901564800FA8,50:07.7,50:07.9,169.835,4.003886125,YES,0x93 0x02 0x12 0xA4 0x19 0x02 0x00 0x00
2,901564800FA8,50:07.7,50:07.9,221.654,3.067844478,YES,0x93 0x02 0x22 0xA4 0x1D 0x08 0x00 0x00
2,901564800FA8,50:07.7,50:08.0,271.164,2.507707513,YES,0x93 0x02 0x31 0x9D 0x19 0x09 0x00 0x00
3,901564800FA8,50:12.7,50:12.7,30.363,22.39567895,YES,0x93 0x03 0x31 0x9C 0x19 0x09 0x00 0x00
3,901564800FA8,50:12.7,50:12.8,80.696,8.426687816,YES,0x93 0x03 0x41 0x9B 0x17 0x01 0x00 0x00
3,901564800FA8,50:12.7,50:12.8,131.629,5.16603484,YES,0x93 0x03 0x21 0x9F 0x1C 0x02 0x00 0x00
3,901564800FA8,50:12.7,50:12.9,182.469,3.726660419,YES,0x93 0x03 0x12 0xA5 0x19 0x03 0x00 0x00
3,901564800FA8,50:12.7,50:12.9,232.992,2.918555144,YES,0x93 0x03 0x13 0xB1 0x22 0x07 0x00 0x00
3,901564800FA8,50:12.7,50:13.0,283.6,2.3977433,YES,0x93 0x03 0x22 0xA4 0x1D 0x08 0x00 0x00
4,901564800FA8,50:17.7,50:17.7,42.439,16.02299771,YES,0x93 0x04 0x41 0x9B 0x18 0x04 0x00 0x00
4,901564800FA8,50:17.7,50:17.8,92.63,7.341034222,YES,0x93 0x04 0x12 0xA5 0x19 0x05 0x00 0x00
4,901564800FA8,50:17.7,50:17.8,143.746,4.730566416,YES,0x93 0x04 0x31 0x9E 0x19 0x01 0x00 0x00
4,901564800FA8,50:17.7,50:17.9,195.173,3.484088475,YES,0x93 0x04 0x13 0xAF 0x21 0x04 0x00 0x00
4,901564800FA8,50:17.7,50:17.9,245.083,2.774570248,YES,0x93 0x04 0x21 0x9D 0x1C 0x03 0x00 0x00
4,901564800FA8,50:17.7,50:18.0,295.744,2.299285869,YES,0x93 0x04 0x22 0xA4 0x1E 0x00 0x00 0x00
5,901564800FA8,50:22.7,50:22.8,54.923,12.38096972,YES,0x93 0x05 0x21 0x9D 0x1C 0x05 0x00 0x00
5,901564800FA8,50:22.7,50:22.8,105.655,6.436041834,YES,0x93 0x05 0x41 0x9B 0x17 0x01 0x00 0x00
5,901564800FA8,50:22.7,50:22.9,156.153,4.3547034,YES,0x93 0x05 0x22 0xA4 0x1D 0x05 0x00 0x00
5,901564800FA8,50:22.7,50:22.9,207.135,3.282883144,YES,0x93 0x05 0x12 0xA5 0x19 0x01 0x00 0x00
5,901564800FA8,50:22.7,50:23.0,257.843,2.637263761,YES,0x93 0x05 0x31 0x9F 0x18 0x02 0x00 0x00
5,901564800FA8,50:22.7,50:23.0,308.174,2.206545653,YES,0x93 0x05 0x13 0xB3 0x22 0x01 0x00 0x00
6,901564800FA8,50:27.7,50:27.7,18.843,36.08767181,YES,0x93 0x06 0x41 0x9B 0x17 0x01 0x00 0x00
6,901564800FA8,50:27.7,50:27.8,69.222,9.823466528,YES,0x93 0x06 0x21 0x9F 0x1C 0x01 0x00 0x00
6,901564800FA8,50:27.7,50:27.8,120.134,5.660345947,YES,0x93 0x06 0x12 0xA5 0x19 0x05 0x00 0x00
6,901564800FA8,50:27.7,50:27.9,170.232,3.994548616,YES,0x93 0x06 0x13 0xB1 0x22 0x01 0x00 0x00
6,901564800FA8,50:27.7,50:27.9,221.105,3.075461885,YES,0x93 0x06 0x22 0xA4 0x1D 0x04 0x00 0x00
6,901564800FA8,50:27.7,50:28.0,272.04,2.499632407,YES,0x93 0x06 0x31 0x9D 0x19 0x08 0x00 0x00
7,901564800FA8,50:32.7,50:32.7,30.598,22.22367475,YES,0x93 0x07 0x22 0xA4 0x1D 0x00 0x00 0x00
7,901564800FA8,50:32.7,50:32.8,81.866,8.306256566,YES,0x93 0x07 0x12 0xA5 0x19 0x03 0x00 0x00
7,901564800FA8,50:32.7,50:32.8,132.906,5.116398056,YES,0x93 0x07 0x31 0x9E 0x19 0x07 0x00 0x00
7,901564800FA8,50:32.7,50:32.9,182.398,3.728111054,YES,0x93 0x07 0x41 0x9B 0x17 0x01 0x00 0x00
7,901564800FA8,50:32.7,50:32.9,233.547,2.911619503,YES,0x93 0x07 0x21 0x9B 0x1C 0x04 0x00 0x00
7,901564800FA8,50:32.7,50:33.0,284.427,2.390771622,YES,0x93 0x07 0x13 0xB0 0x21 0x03 0x00 0x00
8,901564800FA8,50:37.7,50:37.7,43.045,15.7974213,YES,0x93 0x08 0x41 0x9E 0x17 0x0B 0x00 0x00
8,901564800FA8,50:37.7,50:37.8,93.451,7.276540647,YES,0x93 0x08 0x31 0x9D 0x19 0x0D 0x00 0x00
8,901564800FA8,50:37.7,50:37.8,144.607,4.702400299,YES,0x93 0x08 0x22 0xA4 0x1D 0x0A 0x00 0x00
8,901564800FA8,50:37.7,50:37.9,195.033,3.486589449,YES,0x93 0x08 0x21 0x9B 0x1C 0x0C 0x00 0x00
8,901564800FA8,50:37.7,50:37.9,245.65,2.76816609,YES,0x93 0x08 0x12 0xA5 0x19 0x08 0x00 0x00
8,901564800FA8,50:37.7,50:38.0,294.984,2.305209774,YES,0x93 0x08 0x13 0xAF 0x22 0x08 0x00 0x00
9,901564800FA8,50:42.7,50:42.8,54.801,12.40853269,YES,0x93 0x09 0x21 0x9D 0x1C 0x05 0x00 0x00
9,901564800FA8,50:42.7,50:42.8,104.237,6.523595268,YES,0x93 0x09 0x41 0x9B 0x17 0x01 0x00 0x00
9,901564800FA8,50:42.7,50:42.9,156.851,4.335324607,YES,0x93 0x09 0x31 0x9F 0x19 0x08 0x00 0x00
9,901564800FA8,50:42.7,50:42.9,207.239,3.281235675,YES,0x93 0x09 0x13 0xB3 0x21 0x00 0x00 0x00
9,901564800FA8,50:42.7,50:43.0,258.096,2.634678569,YES,0x93 0x09 0x22 0xA4 0x1D 0x00 0x00 0x00
9,901564800FA8,50:42.7,50:43.0,307.507,2.211331775,YES,0x93 0x09 0x12 0xA5 0x19 0x05 0x00 0x00
10,901564800FA8,50:47.7,50:47.7,18.874,36.02839886,YES,0x93 0x0A 0x21 0x9E 0x1B 0x01 0x00 0x00
10,901564800FA8,50:47.7,50:47.8,69.078,9.843944526,YES,0x93 0x0A 0x13 0xAF 0x21 0x07 0x00 0x00
10,901564800FA8,50:47.7,50:47.8,118.321,5.747077864,YES,0x93 0x0A 0x31 0x9B 0x19 0x0B 0x00 0x00
10,901564800FA8,50:47.7,50:47.9,170.387,3.9909148,YES,0x93 0x0A 0x41 0x9D 0x17 0x01 0x00 0x00
10,901564800FA8,50:47.7,50:47.9,220.201,3.088087702,YES,0x93 0x0A 0x12 0xA5 0x19 0x00 0x00 0x00
10,901564800FA8,50:47.7,50:48.0,272.031,2.499715106,YES,0x93 0x0A 0x22 0xA4 0x1D 0x00 0x00 0x00
11,901564800FA8,50:52.7,50:52.7,29.658,22.9280464,YES,0x93 0x0B 0x41 0x9B 0x17 0x06 0x00 0x00
11,901564800FA8,50:52.7,50:52.8,81.277,8.366450533,YES,0x93 0x0B 0x13 0xB2 0x22 0x07 0x00 0x00
11,901564800FA8,50:52.7,50:52.8,131.952,5.153389111,YES,0x93 0x0B 0x31 0x9F 0x19 0x06 0x00 0x00
11,901564800FA8,50:52.7,50:52.9,183.459,3.706550237,YES,0x93 0x0B 0x12 0xA5 0x19 0x01 0x00 0x00
11,901564800FA8,50:52.7,50:52.9,233.907,2.907138307,YES,0x93 0x0B 0x21 0x9D 0x1C 0x01 0x00 0x00
11,901564800FA8,50:52.7,50:53.3,610.84,1.113221138,YES,0x93 0x0B 0x22 0xA4 0x1D 0x08 0x00 0x00
12,901564800FA8,50:57.7,50:57.7,43.076,15.78605256,YES,0x93 0x0C 0x21 0x9B 0x1C 0x0C 0x00 0x00
12,901564800FA8,50:57.7,50:57.8,93.5,7.272727273,YES,0x93 0x0C 0x41 0x9D 0x17 0x0B 0x00 0x00
12,901564800FA8,50:57.7,50:57.9,145.66,4.668405877,YES,0x93 0x0C 0x31 0x9F 0x19 0x0D 0x00 0x00
12,901564800FA8,50:57.7,50:57.9,194.893,3.489094016,YES,0x93 0x0C 0x12 0xA5 0x19 0x01 0x00 0x00
12,901564800FA8,50:57.7,50:58.0,245.549,2.769304701,YES,0x93 0x0C 0x22 0xA4 0x1D 0x0A 0x00 0x00
12,901564800FA8,50:57.7,50:58.0,296.576,2.292835563,YES,0x93 0x0C 0x13 0xB1 0x22 0x01 0x00 0x00
